name,rarity,gained,potential_phase,tokens,state,path
洛茜,6,0,0,0,absent,
汤汤,6,0,0,0,absent,
伊冯,6,0,0,0,up,
洁尔佩塔,6,0,0,0,normal,
莱万汀,6,0,0,0,normal,
余烬,6,0,0,0,normal,
黎风,6,0,0,0,normal,
艾尔黛拉,6,0,0,0,normal,
别礼,6,0,0,0,normal,
骏卫,6,0,0,0,normal,
佩丽卡,5,0,0,0,normal,
弧光,5,0,0,0,normal,
艾维文娜,5,0,0,0,normal,
大潘,5,0,0,0,normal,
陈千语,5,0,0,0,normal,
狼卫,5,0,0,0,normal,
赛希,5,0,0,0,normal,
昼雪,5,0,0,0,normal,
阿列什,5,0,0,0,normal,
秋栗,4,0,0,0,normal,
卡契尔,4,0,0,0,normal,
埃特拉,4,0,0,0,normal,
萤石,4,0,0,0,normal,
安塔尔,4,0,0,0,normal,
